Epoch,Loss
1,0.7696061460674064
2,0.7400961621610136
3,0.7188784624197612
4,0.7021843743698956
5,0.6884250808213394
6,0.6767512876236514
7,0.6666472625958552
8,0.6577668388903253
9,0.6498693789293446
10,0.6427745935263304
11,0.6363511065630411
12,0.6304977731140743
13,0.6251321273034606
14,0.6201900678389889
15,0.615618711595071
16,0.6113735303802474
17,0.6074178193454267
18,0.603720844441038
19,0.6002563228123936
20,0.597001178558358
21,0.593936375974158
22,0.5910447743890043
23,0.5883117811454629
24,0.5857241401011059
25,0.5832702087996678
26,0.5809394098834024
27,0.5787227857310518
28,0.5766123077506174
29,0.574600476683174
30,0.5726808818266804
31,0.5708475288706994
32,0.569094821344913
33,0.5674177800903771
34,0.5658117270676255
35,0.5642727154016757
36,0.5627968442555579
37,0.5613803635878976
38,0.560019947342942
39,0.5587126692948963
40,0.5574557107080002
41,0.5562465480667151
42,0.5550826768664625
43,0.5539620956284389
44,0.5528827034837949
45,0.5518425054512784
46,0.5508397008790098
47,0.5498727865644216
48,0.5489400402799551
49,0.5480399458463825
50,0.5471709432165667
51,0.546331844984361
52,0.5455215120408671
53,0.5447385473433087
54,0.54398187374651
55,0.5432505198234243
56,0.5425433350351688
57,0.5418594846654671
58,0.5411981351349361
59,0.5405583357989152
60,0.5399393432576984
61,0.5393405239076904
62,0.5387612404921587
63,0.5382006878055692
64,0.537658190297176
65,0.5371331542123143
66,0.5366248167404961
67,0.536132678659662
68,0.5356562017240983
69,0.5351949100467208
70,0.5347482798886903
71,0.5343158902076409
72,0.5338973218131625
73,0.5334922386978008
74,0.5331001079516315
75,0.5327204927836241
76,0.5323529458166392
77,0.5319971379139486
78,0.531652779132608
79,0.5313195348448676
80,0.5309971055547273
81,0.5306852445815469
82,0.5303836079257935
83,0.5300918209616535
84,0.5298096588227842
85,0.5295367941462212
86,0.5292730505157756
87,0.5290181882254874
88,0.5287719069474057
89,0.5285339259761989
90,0.528304093681036
91,0.5280822051222499
92,0.5278681130494747
93,0.5276615761683678
94,0.5274623599837549
95,0.5272703142810343
96,0.527085216344096
97,0.5269068970298053
98,0.5267352320585545
99,0.5265700860843884
100,0.5264113001878742
